"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Europe & Central Asia (excluding high income)","ECA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","960","980","1100","920","4250","5280","4620","7050","6210","6150","6000","5770","5130","5503","6525","7043","7233","9268","9050","11522","13209","14715","17075","16051","17994","14468","17378","18315","19973","18573","18592","16492","233662","220602","174849","154299","140343","158162","171764","191985","208532","205205","217020.76","241938.1","256607.4","293238","294887.05","326737.8","350501.72","363869.56","379809.06","408421.3","456940.25","500777.99","519197.49","524256.59","567258.42","614435.9","683088.58","813520.06","921262.35","1025917.12","1105807.58","",
"Europe & Central Asia","ECS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","261934","279060","325424","333898","359826","375837","355332","359314","405595","421634","472162","462284","559283","556672","586590","639914","620374","693358","732189","707372","730339","797569","862011","887447","903543","990333","1022837","1049738","1119002","1143219","1209516","1225701","1395390","1405406","1519927","1629416","1713454","1805809","1986332","2143310","2142174","2165600","2110311.76","2247610.1","2280585.4","2267183","2339890.25","2527481.2","2500370.52","2698892.63","2714637.65","2865303.37","3077092.55","3035438.62","3214533.78","3261825.67","3296926.85","3392600.02","3489717.59","3747023.5","3830340.47","4208555.25","4011815.54","",
"Ecuador","ECU","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","10","50","50","200","513","1030","1591","2155","3552","4113","5009","9565","12554","22016","36273","34225","30876","44339","70099","75631","71211","77730","107145","116694","87763","89096","106223","108880","134497","145790","126575","61311","57587","77636","95278","108673","138562","169588","171020","173222","219463","272720.8","309702","322655","332382","368492","426750.4","451395.3","485005","581450","695850","774588.55","904136.29","1123048","",
"Egypt, Arab Rep.","EGY","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","4600","5200","5200","6000","7000","6200","5900","5600","5600","5900","6000","7000","8000","9000","9000","9000","11000","13000","15000","17000","19000","21000","24000","25000","27000","41846","45500","46400","52200","60500","61916","61617","63895","51210","56603","71815","91137","85704","139389","226276","340093","342864","376296","445181","471535","539748","595030","635516","693765","705490","919585","986820","1017738","1097544","1137091","1174831","1370660","1406864.5","1594231","1641949","1591896","1576189.4","1552430","",
"Euro area","EMU","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","220684","233396","280611","286731","305153","317854","296396","293454","339359","354561","407410","391880","474329","472817","495698","544898","520364","591456","630744","601919","619601","661714","708585","729656","733099","810998","817002","829424","836086","814406","843238","841818","831967","814210","898147","965933","1002575","1011512","1127988","1152665","1125312","1097428","992284","1049431","999717","982204","1015449.2","1037259.4","949491.8","987270.4","944311.28","925293.99","888026.32","853879.51","905746.52","918638.19","970694.97","1002912.2","1034571.54","979882.35","935034.29","979897.88","967016.85","",
"Eritrea","ERI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","14","17","22","6","0","0","0","0","0","0","0","0","0","0","0","3","3","3","4","4","4","4","",
"Spain","ESP","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","6300","8000","56600","64200","65200","66900","65300","52000","69700","95800","156200","146700","164300","166900","173927","168312","186900","193768","235500","206760","205638","215150","225730","229310","247426","266608","268449","270734","271403","222924","203766","224971","171259","128330","181940","225965","233633","241169","315908","320469","311429","311591","257249","271279","301981","225029","297891.2","287985.4","255291.24","271567.37","256785.65","277253.83","269595.67","229307.64","288009.88","296571.97","290484.09","318143","356903.01","311041.81","276626.84","279912.02","276070.81","",
"Estonia","EST","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","693","330","417","315","272","260","260","200","225","467","257","372","252","555","703","772","813","653.6","573.04","388.34","581.4","733.21","870.47","798.7","867.73","870.46","943.66","1061.97","1090.15","849.45","800.81","",
"Ethiopia","ETH","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","33","36","36","22","28","33","55","38","24","14","15","15","15","15","15","25","25","25","25","25","25","25","25","38","45.3","85.5","90.5","95","126","165","430","534","740","1070","",
"European Union","EUU","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","259939","277945","325089","333643","358875","375155","354708","358546","404720","420657","470838","460762","557601","554461","582927","635559","615126","687530","723955","695902","717360","777779","831596","849172","856133","929711","941113","953813","979774","960753","981107","973162","959532","937193","1028003","1095812","1125350","1130071","1246942","1282550","1255292","1228144","1104977","1174020","1126405","1109561","1142515.2","1160075.4","1083736.8","1122193.32","1073448.23","1054164.4","1020504.92","996733.89","1050450.18","1065611.18","1126663.73","1162312.42","1195296.62","1144020.02","1103579.71","1146407.44","1121303.57","",
"Fragile and conflict affected situations","FCS","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","2085","2283","2501","2727","2960","3194","3434","3697","3960","4314","4637","5053","5805","6734","7963","8945","10025","10902","11733","12588","13626","14749","15931","17415","19274","22507","22241","21246","27293","42410","26657","40518","127743","150190","141534","146236","152432","165684","165588","180921","195395","218510","294239.76","353828.1","535603.4","637032.8","749070.1","778595.4","909390.94","1023342.36","1157723.03","1155208.64","1278209.38","1337934.65","1429740.19","1451570.75","1467478.79","1487773.37","1563989.58","1522057.58","1569544.54","1613868.17","1571786.25","",
"Finland","FIN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","50","190","390","600","800","999","1201","1403","1200","1800","1800","2500","2500","3455","3275","4921","5698","6334","7746","9586","10166","11006","12689","16367","18550","18550","19271","17909","17526","16682","17345","17659","16426","16024","15449","15400","15739","15132","12558","12821","14355","12891","13025","13439","13627","11772","11275","12659","13613","13465","14877","14412.17","14586.9","14163.7","15295.8","15052.9","14399.4","16280.6","",
"Fiji","FJI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","757","8660","10896","5089","6045","6353","3493","2498.9","1832.03","184","200","255","365","2408","16860.02","6991","4927","1206","394","561.5","561.5","1618","830","888","670.03","767.5","646","616","371","1079","688","185","245","300","305","322.3","206.1","211","",
"France","FRA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","111100","116700","106900","110000","98220","111650","102700","115255","108610","104725","106444","85280","128308","127366","137010","164937","148586","180727","163893","188692","207039","200250","192707","196288","192609","226903","243671","231894","227544","225122","256653","245094","250254","277323","280954","280786","285526","287243","267850","264857","266802","251655","251758","239601","242167","244925","237375","237451","238248.6","234002","203409","193662.2","205151.9","200401.1","180390","163352.6","180610.8","188605.81","187465.08","196151.36","191050.44","193332.2","200490.32","",
"Faroe Islands","FRO","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","5","10","25","40","80","51","102","305","100","222","445","360","390","513","1620","2520","4523","5260","8131","13076","18283","19098","18752","15332","8611","17584","22538","20436","42544","34823","49167","56102","62746","46077","23455","18574","30699","46673","59295","47575","60473","76564","75909","86454","80622","83333","86866","78975","95085","89055","115760","108745","",
"Micronesia, Fed. Sts.","FSM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Gabon","GAB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","3","2","2","2","3","5","8","28","39","62","57","158","558","558","102","83","80","80","78","126","124","124","126","130","130","48","46","45","45","50","50","62","62","72","72","87","",
"United Kingdom","GBR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","35","135","35","35","200","300","200","200","200","200","444","516","213","401","556","876","690","585","888","2351","2855","4049","11987","11684","17612","20104","24013","29435","36392","49316","50044","60887","56824","68774","85701","93838","109901","129715","137421","154800","152485","170516","179036","181838","207203","172813","171848","174200","175702","196597.82","201363.85","198967.6","205594.7","225762.18","234368.63","223037.58","204567.55","227672.45","189951.35","233889.41","216838.21","230279.5","","",
"Georgia","GEO","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1045","580","228","157","101","61","96","83","86","80","52","56","72","107","150","180","422","705","850","1000","1155","1305","1495","1655","1805","2042","2381.5","2444.7","2026.9","2790.4","2743.2","",
"Ghana","GHA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","4","10","20","46","94","122","142","168","181","199","219","238","256","273","289","306","329","353","450","357","359","386","427","330","360","410","430","465","500","550","550","400","1800","2900","5000","6000","6000","938","950","1154","2270","3820","5594","7154","10200","19092","27450","32513","38545","44610","52480","57415","76630","52360","64010","89380","132682","",
"Gibraltar","GIB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","2","2","1","1","1","1","5","5","5","4","4","0","0","0","0","0","2","2","2","100","110","110","170","177","185","187.2","292.5","322.8","351","409","477.8","572.9","686.6","806.2","1135","1150","1180","",
"Gambia, The","GMB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","60","0","0","0","0","0","4","4","4","4","5","5","5","5","5","5","75","25","25","25","25","33","33","33","35","35","35","35","33","33","33","35","42","",
"Guinea-Bissau","GNB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","25","25","20","15","15","15","",
"Equatorial Guinea","GNQ","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","3","15","17","15","15","15","15","15","15","15","15","15","15","15","",
"Greece","GRC","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","330","290","390","450","530","620","630","800","860","950","1040","975","1080","1230","1400","1520","1612","1704","1826","1872","1963","2065","2110","2260","2542","2377","2296","2741","4087","4737","9523","12615","20306","32578","33182","32644","39852","48838","59926","84274","95418","97512","87928","101434","97143","106208","113384","113297","115068","122011","121244","110809.1","110973.47","113999.85","104663","107161.8","123707.1","125524.7","132364.52","128821.58","131737.18","143925.57","142007.58","",
"Grenada","GRD","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4","22.6","18.5","20.5","22.5","22.5","22.5","26","",
"Greenland","GRL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","9","12","61","459","528","651","920","713","904","831","1235","3286","4393","3675","3421","4407","3124","4850","3963","5100","7978","6346","4908","9008","16293","16400","18727","16623","22792.23","21468","17743","19762","21395","22247.6","23448.9","26360","28317","31000","33651","32583.45","42313.4","",
"Guam","GUM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","11","45","37","47","85","142","180","198","210","212","176","187","211","215","216","220","220","220","230","232","232","233","160","160","160","162","162","162","140.5","129","111","111","110","110","110","110","100","103","105","108","105","108","",
"Guyana","GUY","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","17","27","65","70","43","35","50","65","85","140","210","230","250","270","300","606","605","608","608","608","608","608","660","660","292","510.96","487.6","263.1","261.18","220.65","367.49","417.64","336.7","696.27","306.76","243.02","137.63","141.73","953.4","",
"High income","HIC","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","762244","824276","919026","1028537","1031121","1068479","1081491","1168807","1292881","1221799","1457047","1543315","1712256","1985036","2185426","2209105","2308298","2471003.5","2485896","2517036","2727258","3010547","3008262","3227407.5","3403202.45","3588149.66","3963468.09","3920600.23","4212357.96","4129378.06","4195014.04","4263043.6","4450894.99","4596583.02","4885358","4986198.2","5023640.13","5344243.7","5219878.1","5369666.59","5321275.75","5678948.72","5881766","6015674.02","6211600","6215549.29","6622595.54","6937533.13","6836122.38","6967746.78","6809912.54","6975621.78","7476947.45","7333235.04","7674311.73","7765870.81","7907657.24","8590093.13","8691693.4","9001483.35","9025354.12","9360955.13","6702476.93","",
"Hong Kong SAR, China","HKG","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","600","665","690","700","1390","1279","1138","1169","1852","2140","3113","3287","3619","4010","4287","5239","6086","5101","6816","7383","7887","7913","9287","8540","8356","7901","9121","10436","10778","9529","10256","10624","9333","9299","8966","8571","8418","8310","6439","6052","4988","5627","4302","4857","4615","4130","4125","4514","4754","4819","4338","3438","4093","3764","3897","3894","4258","4172","4133","3787.1","3834.7","4008.87","3361.2","",
"Honduras","HND","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","9","14","23","36","55","86","127","190","268","581","465","985","2049","2845","3318","3401","4175","5707","8341","8990","7241","10295","9472","8080","8789","10053","13386","16957","23547","27036","49249","55356","54689","47080","28858","27509","50295","52436","53100","61750","55100","54000","64500","65000","68100","71151.1","63267.8","73193","",
"Heavily indebted poor countries (HIPC)","HPC","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","4","10","20","106","254","282","402","428","343","345","510","638","714","788","989","1138","1387","1794","2907","2839","4285","5878","6965","7697","16664","34997","36916","37422","46495","62486","75786","68010","72304","70004","90371","130605","173065","162527","139343","172302.15","212289.2","241078.7","263596.25","268125.31","314846.8","344257.7","402600.65","385174.67","445655.14","499395.15","455718.15","483267.49","490083.18","475835.73","516465.69","599142.49","647405.2","",
"Croatia","HRV","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6802","4603","4941","4007","2889","3510","5989","6313","6876","10468","9095","9505","12834","13842","18847","16135","15729","16328.55","15678.51","14604","11222.1","13720.21","13767.99","16874.85","17269.05","17114.41","19680.31","20442.97","21718.27","27010.33","27156.05","",
"Haiti","HTI","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","12","12","12","32","32","32","162","162","225","360","600","720","800","1010","1220","1290","1400","1430","1555","1560","1610","1685","",
"Hungary","HUN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","10000","12500","13750","15150","16100","17280","18590","19230","19800","20300","19500","19000","22600","21626","21791","21950","21923","21889","21787","21619","22570","26330","26180","27790","16473","18315","16997","17948","17970","20548","17600","14434","14230","9492","9899","9360","8080","9334","10222","11947","12886","13056","11574","11870","12744","13661","14686","15864","15687","14825","14245","15584","15133","14918","15326","17337","16247.97","18257.5","17852.3","17283.31","18373.33","17846.74","18947.76","",
"IBRD only","IBD","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","1249343","1094009","1069678","1204810","1386582","1542183","1739905","1765535","1800594","2034538","2034812","2382906","2581660","2457722","2690519","2920565","2970053","3766742","4067098","4072697","4464528","4507693","4811167","5375414","6156328","7049136","7735046","8756826","10131297","11107361","11581756","13264832","16290795","19552116","22974111","26337823","29007308","29401207","31549935","34567571","36676149","38873901.4","41561842.76","44143499.1","48098261.9","51381789.5","54647942.84","57548303.75","61389650.8","64688837.01","68368478.46","71811788.16","77592935.04","84235920.76","88432341.72","92303622.3","96182193.26","99451311.99","102857152.52","106333599.93","109139836.22","111951282.89","116150661.47","",
"IDA & IBRD total","IBT","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","1302215","1148541","1125843","1262765","1446400","1605538","1803501","1831180","1866590","2104555","2107297","2459390","2659319","2538232","2772157","3005535","3059990","3858101","4165279","4176875","4574310","4625362","4936158","5508720","6303837","7211920","7928870","8976945","10364048","11373012","11857354","13592938","16675699.9","19970988.03","23435862","26879158","29628481","30147360","32394498","35468998.02","37670076","40035790.4","42925569.76","45650008.1","49821891.6","53213894.92","56694500.88","59711820.94","63778476.04","67283522.4","71413459.7","75141591.85","81304892.64","88190916.91","92652632.22","96755994.23","100774333.4","104268780.13","107911021.72","111504251.58","114618890.7","117596283.09","121838248.98","",
"IDA total","IDA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","52872","54532","56165","57955","59818","63355","63596","65645","65996","70017","72485","76484","77659","80510","81638","84970","89937","91359","98181","104178","109782","117669","124991","133306","147509","162784","193824","220119","232751","265651","275598","328106","384904.9","418872.03","461751","541335","621173","746153","844563","901427.02","993927","1161889","1363727","1506509","1723629.7","1832105.42","2046558.04","2163517.19","2388825.24","2594685.39","3044981.24","3329803.69","3711957.6","3954996.15","4220290.5","4452371.93","4592140.14","4817468.14","5053869.2","5170651.65","5479054.48","5645000.2","5687587.51","",
"IDA blend","IDB","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","3555","3853","4081","4397","4740","5003","5294","5605","5881","6206","6549","6913","7255","7699","8112","8641","9187","9734","10293","10839","11503","12176","12917","13842","15699","17793","23305","26122","23669","43196","25527","33333","52495.9","52940.03","46152","43550","39276","48216","47844","69788.02","53847","94704","106439","111683","129234.5","145916.47","216538.24","228647.39","295391.04","309702.39","369902.4","413207.1","454970.8","501590","544571.09","552644.11","545745.99","546150.21","553457.93","584010.47","581476.94","607226.64","607271.54","",
"Indonesia","IDN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","80639","86172","89263","88224","93148","93898","104339","112101","104175","105690","108706","114121","118952","129830","136244","149633","156744","173780","189266","202202","225296","269959","273541","303941","330764","359626","411552","456727","499597","527897","599824","607507","645368","710414","703522","743092","881098","777547","747007","882989","993727","1076749","1137151","1228559","1468612","2124093","2479247","3137376","3854944","4712846.53","6277924.49","7937071.54","9599764.82","13301407.93","14375286.83","15649311.1","16002319.09","16118238","15771806","15425627.33","14845014.41","14493522.61","14633869.09","",
"IDA only","IDX","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","49317","50679","52084","53558","55078","58352","58302","60040","60115","63811","65936","69571","70404","72811","73526","76329","80750","81625","87888","93339","98279","105493","112074","119464","131810","144991","170519","193997","209082","222455","250071","294773","332409","365932","415599","497785","581897","697937","796719","831639","940080","1067185","1257288","1394826","1594395.2","1686188.95","1830019.8","1934869.8","2093434.2","2284983","2675078.84","2916596.59","3256986.8","3453406.15","3675719.41","3899727.82","4046394.15","4271317.93","4500411.27","4586641.18","4897577.54","5037773.56","5080315.97","",
"Isle of Man","IMN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","44843","49359","54368","59927","66096","72947","80561","89022","98471","109321","121671","136697","153958","173080","192321","213817","238123","264948","294854","328082","365180","406622","452939","504733","572000","633250","686260","788310","893330","1004500","1017136","1225261","1395444","1416702","1519528","1658807","1758739","1864322","1908485","2134814","1942531","2120634","2189445","2316947","2804362","2973126","3182817","3114762","3855763","3798842","3790021","3677584","4213980","4492502","4884002","5344002","5701902","6212869","7247902","7933000","8641286","9408300","10235300","",
"Not classified","INX","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","2100","900","500","1100","1000","1100","900","1300","2600","3000","3701","4906","5512","3423","3809","4258","5019","4654","4069","3692","5639","5811","6982","7078","15322","11964","12741","18693","18327","20790","26673","27749","27157","30158","28615","27366","34925","36854","42375","43856","51247","60940","62568","62516","58359","60050","53122","57104","44867.5","47511.68","46490.3","44266.32","36102.01","34198.2","31200.2","39650","40244.43","45433.1","36895.9","37913.7","37750.7","42099","44014","",
"Iran, Islamic Rep.","IRN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","60","155","311","887","1510","2675","3800","4935","7040","9263","11197","13356","15368","18369","17776","20930","24820","26400","26000","27147","20226","21806","21882","25899","28636","29977","30279","33237","31800","40550","62550","76817","91714","104330","111761","129468","158549","154726","179552","220034","247262","296514","325325","320174","346118","398129","412887","439718","458131","480500","478737","","",
"Iraq","IRQ","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","2","10","100","500","1000","1800","2300","2746","3000","3238","3443","3622","3774","3899","3997","4476","4441","4564","5250","5000","3000","1600","1750","4750","4000","4100","2600","2500","3400","7500","2183","1745","2000","2000","2000","13947","17941","14867","15810","19246","18732","20320","16290","25040","14060","26625","24803","28835","31814","25737","22269","22704","22694","23000","",
"Iceland","ISL","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","15","23","32","43","59","80","107","137","103","273","643","1209","1677","2829","2873","2524","2917","3222","3485","3687","3663","3868","3897","3623","4371","3585","6214","8868","8256","8241","4823","5098","5165","5050","5308.5","7431.3","7053","8433.5","8382.6","15129","20858.7","19185","34054.8","40609","53154","51362","",
"Israel","ISR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","9271","10054","9985","11282","11812","11673","10526","9637","10827","11180","12815","13626","14095","14283","12416","12441","12446","13353","12969","12283","11391","11263","11260","11024","11514","12954","12289","14027","15135","14593","14638","15102","12211","13604","14984","16180","17553","18264","18556","18777","20098","21318","22256","20776","22303","22409","22117","21434","20017","19177","19895","20817","20342.4","22251.6","20166","19640","18914","17997","17025","16940","15280","14875","13840","",
"Italy","ITA","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","2794","4776","6531","8001","9893","11813","13573","16711","20473","22748","28632","35443","31224","29074","41786","51088","56653","60543","64228","70479","74640","83584","87547","89848","96900","104301","107130","110616","131499","132971","153744","175193","170377","166320","176421","214725","189373","195719","208625","210368","216525","218330","184285","191884","118217","182443","173586","181126","149002.76","162431.5","153493.71","164150.7","137041","140879","148730.35","148762.6","156460","156625","145000.18","132377.8","125790.26","145861.9","132660.9","",
"Jamaica","JAM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","38","25","20","32","135","148","355","850","1462","2201","2772","3092","3404","3140","3240","3340","3440","3550","3500","3450","3410","4150","4512","4512","6155","2974","4500","5675","8024","5621","5955","5189","3957","1157","656.05","842.9","881","607","952","1347","1620.63","1161.45","926.75","884.2","945","",
"Jordan","JOR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","15","30","45","65","70","70","55","60","20","22","60","86","170","181","200","293","515","569","540","515","650","487","561","560","509","540","440","541","575","600","750","900","950","1120","1220","1330","1940","2055","2145","2582","",
"Japan","JPN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","308044","347634","389701","419315","399167","412523","442172","513304","574487","526565","597395","658832","703271","854553","946292","844119","926711","943746","1007675","977359","1085656","1051868","1035020","1153787","1208031.45","1184219.45","1291957.99","1234254.23","1426062.96","1370564.06","1369751.04","1359269.6","1397088.99","1359475.85","1420526.04","1389676.5","1349461.75","1339909.51","1290515.1","1315323.77","1291735.09","1311828.7","1385099.11","1301793.56","1261003.29","1254142.96","1224189.46","1284425.42","1186721.91","1243358.13","1151101.34","907971.59","1073820.78","1027951.49","1021848.59","1105651.68","1068034.5","1023192.2","1034919.66","946642.84","998938.83","959646.01","942560.2","",
"Kazakhstan","KAZ","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3379","2928","1161","1948","1682","1921","1106","1193","813","309","778","820","188.2","123","256","170","206","303","224","858","738","811","410","730.4","1878","2776","5653.26","6933.09","6804.56","5438.4","9438.33","",
"Kenya","KEN","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","380","410","360","380","430","399","370","360","317","293","240","220","170","180","160","150","160","160","180","160","160","160","195","201","207","213","224","210","561","972","1236","1178","1136","1145","1385","1302","579","199","153","300","512","1009","798","1012","1035","1047","1012","4240","4452","4895","12194","22295","21888","23901","24498","18961","15310","13098","16927","20270","24763","28430","28898","",
"Kyrgyz Republic","KGZ","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","642","223","163","207","185","168","162","71","58","144","94","12","20","20","20","107","92","133","352","394.5","297","300","577.93","1068.4","1930.7","2100","2558.7","4300","5100","10300","20698.3","",
"Cambodia","KHM","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","11","25","53","106","240","464","934","1610","3000","2200","2500","4600","5538","6400","6700","8550","7900","8200","9511","9600","11800","14100","15000","14430","17500","18250","26300","37515","44000","41010","35260","40000","50000","60000","72000","74000","90000","120055","145000","172500","207500","254050","307408","400400","348350","330600","",
"Kiribati","KIR","Aquaculture production (metric tons)","ER.FSH.AQUA.MT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","15","1530","349","443","1228","5116","8209","3513","1684","3200","5265","9489","7383","5942","9409","11188","9282","4262","3913","3913","5012","8849","1117","1094.14","1798.16","4756","4293","8291","2261","6932","3512","2","152","2","2","2","2","2","",
